country,continent,total_vaccinations,total_vaccinations_per_hundred,vaccines
Albania,Europe,447,0.02,Pfizer/BioNTech
United Arab Emirates,Asia,1971521,19.93,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
Argentina,South America,,,Sputnik V
Austria,Europe,88973,0.99,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,Asia,,,"Oxford/AstraZeneca, Sputnik V"
Belgium,Europe,133747,1.15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,Europe,19638,0.28,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,Asia,142831,8.39,"Pfizer/BioNTech, Sinopharm/Beijing"
Belarus,Europe,,,Sputnik V
Bermuda,North America,,,Pfizer/BioNTech
Brazil,South America,1109,0,"Oxford/AstraZeneca, Sinovac"
Canada,North America,422864,1.12,"Moderna, Pfizer/BioNTech"
Chile,South America,33210,0.17,"Pfizer/BioNTech, Sinovac"
China,Asia,,,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,North America,29389,0.58,Pfizer/BioNTech
Cayman Islands,North America,,,Pfizer/BioNTech
Cyprus,Europe,,,Pfizer/BioNTech
Czechia,Europe,135924,1.27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,Europe,1266251,1.51,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,Europe,177598,3.07,"Moderna, Pfizer/BioNTech"
Spain,Europe,897942,1.92,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,Europe,18275,1.38,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Finland,Europe,54568,0.98,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,Europe,468073,0.69,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
United Kingdom,Europe,4723443,6.96,"Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,Europe,6435,19.1,Pfizer/BioNTech
Greece,Europe,85898,0.82,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,Europe,,,Pfizer/BioNTech
Hungary,Europe,131332,1.36,Pfizer/BioNTech
Indonesia,Asia,,,Sinovac
India,Asia,454049,0.03,"Covaxin, Oxford/AstraZeneca"
Ireland,Europe,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Iceland,Europe,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,Asia,2751251,31.79,"Moderna, Pfizer/BioNTech"
Italy,Europe,1248290,2.06,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,Asia,,,Pfizer/BioNTech
Lithuania,Europe,56551,2.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,Europe,4569,0.73,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Latvia,Europe,16794,0.89,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Monaco,Europe,2400,6.12,Pfizer/BioNTech
Mexico,North America,492529,0.38,"Oxford/AstraZeneca, Pfizer/BioNTech"
Malta,Europe,13002,2.94,Pfizer/BioNTech
Netherlands,Europe,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,Europe,53024,0.98,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,Asia,26758,0.52,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,Europe,495164,1.31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,Europe,124704,1.22,"Moderna, Pfizer/BioNTech"
Qatar,Asia,,,Pfizer/BioNTech
Romania,Europe,235239,1.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,Asia,,,Sputnik V
Saudi Arabia,Asia,,,Pfizer/BioNTech
Singapore,Asia,,,Pfizer/BioNTech
Serbia,Europe,,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Slovakia,Europe,72256,1.32,Pfizer/BioNTech
Slovenia,Europe,48108,2.31,"Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,Europe,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Seychelles,Africa,,,"Oxford/AstraZeneca, Sinopharm/Beijing"
Turks and Caicos Islands,North America,,,Pfizer/BioNTech
Turkey,Asia,832412,0.99,Sinovac
United States,North America,,,"Moderna, Pfizer/BioNTech"
